x,y,C10,C01,C20,invD,ux,uy,group_id
0.023144796,0.49312884,0.6,1.1,0.8,1.6,0.054153092,0.58981985,0
0.023207912,0.71156967,0.6,1.1,0.8,1.6,0.04811888,0.7780716,0
0.023520267,0.3919079,0.6,1.1,0.8,1.6,0.06761956,0.48496464,0
0.024179425,0.041464135,0.6,1.1,0.8,1.6,0.016241211,0.05015197,0
0.024337756,0.14219896,0.6,1.1,0.8,1.6,0.04746178,0.17346026,0
0.024661412,0.9457135,0.6,1.1,0.8,1.6,0.019756386,0.9574793,0
0.024860611,0.79217976,0.6,1.1,0.8,1.6,0.04274862,0.8403795,0
0.02576219,0.4993754,0.6,1.1,0.8,1.6,0.053385396,0.5961267,0
0.026267994,0.7439928,0.6,1.1,0.8,1.6,0.046102602,0.80345863,0
0.026573682,0.6626725,0.6,1.1,0.8,1.6,0.049496215,0.73931473,0
0.026638543,0.48850477,0.6,1.1,0.8,1.6,0.05415652,0.58565754,0
0.026768258,0.7516645,0.6,1.1,0.8,1.6,0.045576107,0.80940825,0
0.02722358,0.8331482,0.6,1.1,0.8,1.6,0.0385566,0.8716634,0
0.027361456,0.65511173,0.6,1.1,0.8,1.6,0.04959815,0.73322004,0
0.027410526,0.9609365,0.6,1.1,0.8,1.6,0.015169003,0.9695823,0
0.027442751,0.67083734,0.6,1.1,0.8,1.6,0.049195137,0.7459285,0
0.027449965,0.3146687,0.6,1.1,0.8,1.6,0.07560637,0.39464054,0
0.027500601,0.32308325,0.6,1.1,0.8,1.6,0.075169414,0.4050497,0
0.027612133,0.9378409,0.6,1.1,0.8,1.6,0.021476738,0.951574,0
0.027626622,0.41357812,0.6,1.1,0.8,1.6,0.0637634,0.50914913,0
0.027640672,0.8421858,0.6,1.1,0.8,1.6,0.03749496,0.8785453,0
0.027687484,0.4221195,0.6,1.1,0.8,1.6,0.062414125,0.51825404,0
0.027754359,0.5741219,0.6,1.1,0.8,1.6,0.05058733,0.66500527,0
0.027883798,0.33191866,0.6,1.1,0.8,1.6,0.07451828,0.415887,0
0.02812533,0.7377251,0.6,1.1,0.8,1.6,0.046295807,0.79868585,0
0.028279923,0.7599362,0.6,1.1,0.8,1.6,0.04488261,0.8158485,0
0.028353838,0.22258769,0.6,1.1,0.8,1.6,0.068638094,0.2757342,0
0.028414717,0.34108704,0.6,1.1,0.8,1.6,0.07367338,0.42702228,0
0.028730934,0.6013189,0.6,1.1,0.8,1.6,0.05022342,0.68857145,0
0.028802406,0.23174807,0.6,1.1,0.8,1.6,0.070261806,0.28776863,0
0.028822338,0.16436991,0.6,1.1,0.8,1.6,0.05389497,0.20065226,0
0.028870411,0.07318963,0.6,1.1,0.8,1.6,0.025033489,0.08827689,0
0.028913114,0.8156816,0.6,1.1,0.8,1.6,0.04021066,0.8584917,0
0.028952464,0.889325,0.6,1.1,0.8,1.6,0.030916952,0.9144369,0
0.02907926,0.40550277,0.6,1.1,0.8,1.6,0.06488147,0.5006365,0
0.02911474,0.8607657,0.6,1.1,0.8,1.6,0.035056483,0.8927334,0
0.029125266,0.9108754,0.6,1.1,0.8,1.6,0.027131414,0.9309084,0
0.029246174,0.6794534,0.6,1.1,0.8,1.6,0.04876579,0.75290954,0
0.029363358,0.15621938,0.6,1.1,0.8,1.6,0.05132778,0.1902877,0
0.029378204,0.10115082,0.6,1.1,0.8,1.6,0.033577424,0.122190654,0
0.029706933,0.86999065,0.6,1.1,0.8,1.6,0.033747472,0.89977527,0
0.029799432,0.25027686,0.6,1.1,0.8,1.6,0.072889104,0.31214237,0
0.03,0.0,0.6,1.1,0.8,1.6,2.2955968e-38,4.2277183e-38,0
0.03,1.0,0.6,1.1,0.8,1.6,-8.85779e-40,1.0,0
0.030058963,0.11047558,0.6,1.1,0.8,1.6,0.036484987,0.1334705,0
